date_time,Allansford_maxtempC,Allansford_mintempC,Allansford_totalSnow_cm,Allansford_sunHour,Allansford_uvIndex,Allansford_uvIndex,Allansford_moon_illumination,Allansford_moonrise,Allansford_moonset,Allansford_sunrise,Allansford_sunset,Allansford_DewPointC,Allansford_FeelsLikeC,Allansford_HeatIndexC,Allansford_WindChillC,Allansford_WindGustKmph,Allansford_cloudcover,Allansford_humidity,Allansford_precipMM,Allansford_pressure,Allansford_tempC,Allansford_visibility,Allansford_winddirDegree,Allansford_windspeedKmph
2020-02-10 06:00:00,25,17,0.0,9.8,6,1,83,08:34 PM,06:25 AM,05:52 AM,07:36 PM,12,18,18,18,23,48,69,0.0,1013,18,10,90,15
2020-02-10 09:00:00,25,17,0.0,9.8,6,5,83,08:34 PM,06:25 AM,05:52 AM,07:36 PM,14,20,20,20,22,72,69,0.0,1012,20,10,86,18
2020-02-10 12:00:00,25,17,0.0,9.8,6,5,83,08:34 PM,06:25 AM,05:52 AM,07:36 PM,16,24,24,23,22,95,62,0.0,1010,23,10,80,19
2020-02-10 15:00:00,25,17,0.0,9.8,6,5,83,08:34 PM,06:25 AM,05:52 AM,07:36 PM,16,26,26,24,16,64,62,0.0,1008,24,10,91,14
2020-02-10 18:00:00,25,17,0.0,9.8,6,1,83,08:34 PM,06:25 AM,05:52 AM,07:36 PM,17,25,25,23,12,81,70,0.0,1008,23,10,112,8
2020-02-10 21:00:00,25,17,0.0,9.8,6,1,83,08:34 PM,06:25 AM,05:52 AM,07:36 PM,17,20,21,20,13,55,79,0.0,1009,20,10,91,8
2020-02-11 00:00:00,23,17,0.0,11.0,6,1,75,09:10 PM,07:41 AM,05:53 AM,07:35 PM,16,18,18,18,14,60,89,0.0,1009,18,10,67,8
2020-02-11 03:00:00,23,17,0.0,11.0,6,1,75,09:10 PM,07:41 AM,05:53 AM,07:35 PM,16,17,17,17,8,49,93,0.0,1008,17,10,194,4
2020-02-11 06:00:00,23,17,0.0,11.0,6,1,75,09:10 PM,07:41 AM,05:53 AM,07:35 PM,17,18,18,18,8,46,91,0.0,1009,18,10,266,5
2020-02-11 09:00:00,23,17,0.0,11.0,6,6,75,09:10 PM,07:41 AM,05:53 AM,07:35 PM,17,21,23,21,15,35,75,0.0,1011,21,10,242,13
2020-02-11 12:00:00,23,17,0.0,11.0,6,6,75,09:10 PM,07:41 AM,05:53 AM,07:35 PM,17,25,25,22,20,76,74,0.1,1010,22,10,224,17
2020-02-11 15:00:00,23,17,0.0,11.0,6,5,75,09:10 PM,07:41 AM,05:53 AM,07:35 PM,18,20,21,20,22,96,85,0.1,1010,20,10,209,18
