date_time,Aimadamodo_maxtempC,Aimadamodo_mintempC,Aimadamodo_totalSnow_cm,Aimadamodo_sunHour,Aimadamodo_uvIndex,Aimadamodo_uvIndex,Aimadamodo_moon_illumination,Aimadamodo_moonrise,Aimadamodo_moonset,Aimadamodo_sunrise,Aimadamodo_sunset,Aimadamodo_DewPointC,Aimadamodo_FeelsLikeC,Aimadamodo_HeatIndexC,Aimadamodo_WindChillC,Aimadamodo_WindGustKmph,Aimadamodo_cloudcover,Aimadamodo_humidity,Aimadamodo_precipMM,Aimadamodo_pressure,Aimadamodo_tempC,Aimadamodo_visibility,Aimadamodo_winddirDegree,Aimadamodo_windspeedKmph
2020-04-02 15:00:00,30,28,0.0,11.6,7,7,64,01:06 PM,No moonset,05:57 AM,05:56 PM,22,33,33,30,5,15,64,0.0,1008,30,10,359,4
2020-04-02 18:00:00,30,28,0.0,11.6,7,1,64,01:06 PM,No moonset,05:57 AM,05:56 PM,22,33,33,29,6,16,65,0.0,1008,29,10,289,4
2020-04-02 21:00:00,30,28,0.0,11.6,7,1,64,01:06 PM,No moonset,05:57 AM,05:56 PM,22,32,32,29,9,8,66,0.0,1010,29,10,142,6
2020-04-03 00:00:00,30,28,0.0,11.6,7,1,71,02:01 PM,12:55 AM,05:57 AM,05:55 PM,22,31,31,28,14,11,69,0.0,1010,28,10,130,9
2020-04-03 03:00:00,30,28,0.0,11.6,7,1,71,02:01 PM,12:55 AM,05:57 AM,05:55 PM,23,31,31,28,13,35,71,0.0,1009,28,10,125,9
2020-04-03 06:00:00,30,28,0.0,11.6,7,7,71,02:01 PM,12:55 AM,05:57 AM,05:55 PM,23,32,32,28,10,27,72,0.0,1010,28,10,110,7
2020-04-03 09:00:00,30,28,0.0,11.6,7,7,71,02:01 PM,12:55 AM,05:57 AM,05:55 PM,23,33,33,29,6,14,68,0.0,1011,29,10,120,4
2020-04-03 12:00:00,30,28,0.0,11.6,7,7,71,02:01 PM,12:55 AM,05:57 AM,05:55 PM,23,34,34,30,5,37,65,0.0,1010,30,10,176,4
2020-04-03 15:00:00,30,28,0.0,11.6,7,7,71,02:01 PM,12:55 AM,05:57 AM,05:55 PM,23,34,34,30,9,47,66,0.0,1008,30,10,185,7
2020-04-03 18:00:00,30,28,0.0,11.6,7,1,71,02:01 PM,12:55 AM,05:57 AM,05:55 PM,23,34,34,30,15,32,68,0.0,1009,30,10,160,10
2020-04-03 21:00:00,30,28,0.0,11.6,7,1,71,02:01 PM,12:55 AM,05:57 AM,05:55 PM,23,32,32,29,15,28,70,0.0,1010,29,10,131,10
2020-04-04 00:00:00,29,28,0.0,11.6,7,1,79,02:55 PM,01:55 AM,05:57 AM,05:55 PM,23,32,32,29,11,40,70,0.0,1010,29,10,115,8
2020-04-04 03:00:00,29,28,0.0,11.6,7,1,79,02:55 PM,01:55 AM,05:57 AM,05:55 PM,23,32,32,29,9,40,70,0.0,1009,29,10,128,6
2020-04-04 06:00:00,29,28,0.0,11.6,7,7,79,02:55 PM,01:55 AM,05:57 AM,05:55 PM,22,32,32,29,8,22,69,0.0,1010,29,10,131,5
2020-04-04 09:00:00,29,28,0.0,11.6,7,7,79,02:55 PM,01:55 AM,05:57 AM,05:55 PM,22,32,32,29,6,8,67,0.0,1011,29,10,194,4
